Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 28 1992,General Election,Daniel McIntyre,,Art POTVIN,Office of Councillor,628,No
October 22 1986,General Election,Elmwood,,Alf SKOWRON,Office of Councillor,1865,Yes
October 23 1974,General Election,Arlington,,John SULYMKO,Office of Councillor,517,No
October 23 1974,General Election,Jefferson,,Henry KOZLOWSKI,Office of Councillor,825,No
October 25 2006,General Election,Seven Oaks School Division,3,Luis MARTINEZ,Office of School Trustee,1582,No
October 27 2010,General Election,Seven Oaks School Division,3,Edward PLOSZAY,Office of School Trustee,0,Yes
October 27 2010,General Election,River East Transcona School Division,1,Dan RICHARD,Office of School Trustee,1529,No
October 26 1995,General Election,Seven Oaks School Division,3,Morley JACOBS,Office of School Trustee,3527,Yes
October 26 1995,General Election,Winnipeg School Division,3,Morley SIMARD,Office of School Trustee,971,No
October 28 1992,General Election,Assiniboine South School Division,1,Ron STATHAM,Office of School Trustee,0,Yes
June 22 2004,By-Election,St. Boniface,,Murray CLIFF,Office of Councillor,1040,No
October 27 2010,General Election,Mynarski,,Greg LITTLEJOHN,Office of Councillor,1989,No
October 26 1977,General Election,Seine Valley,,Lorne LEECH,Office of Councillor,0,Yes
October 26 1983,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Al FRANKLIN,Office of School Trustee,2214,No
October 25 2006,General Election,Winnipeg School Division,2,Anthony RAMOS,Office of School Trustee,4785,Yes
October 23 1974,General Election,River East School Division,2,Dennis KOZAK,Office of School Trustee,693,No
October 23 1974,General Election,St. James-Assiniboia School Division,,George EAKIN,Office of School Trustee,4105,Yes
October 28 1998,General Election,Winnipeg School Division,3,Liz AMBROSE,Office of School Trustee,6126,Yes
October 28 1998,General Election,Transcona-Springfield School Division,1,Gerald BASARAB,Office of School Trustee,2105,No
October 23 1974,General Election,Transcona-Springfield School Division,1,Cam KING,Office of School Trustee,2043,No
October 23 2002,General Election,Louis Riel School Division,2,Leslie FINGLER,Office of School Trustee,2493,No
October 22 1986,General Election,Memorial,,Peter ROSS,Office of Councillor,417,No
October 25 2006,General Election,Seven Oaks School Division,3,Karen DELA RONDE,Office of School Trustee,1618,No
October 26 1983,General Election,Charleswood,,Lily WIKLUND,Office of Councillor,580,No
October 28 1998,General Election,Fort Rouge,,Raymond DESPATIS,Office of Councillor,298,No
October 26 1995,General Election,Transcona-Springfield School Division,2,Patricia PASKARUK,Office of School Trustee,2072,No
June 11 2016,By-Election,St. James – Assiniboia School Division,King Edward-Deer Lodge Ward,Stacey MCALPINE,Office of School Trustee,115,No
October 26 1983,General Election,St. Vital School Division,,Bob ROSE,Office of School Trustee,5542,Yes
October 22 2014,General Election,North Kildonan,,Jeff BROWATY,Office of Councillor,11840,Yes
October 22 1986,General Election,Kildonan Park,,Helen PROMISLOW,Office of Councillor,2543,Yes
October 25 2006,General Election,Mynarski,,Arlene JONES,Office of Councillor,1497,No
October 23 2002,General Election,Mynarski,,Peter JUBA,Office of Councillor,1138,No
October 22 2014,General Election,Point Douglas,,Dale WHITE,Office of Councillor,1165,No
October 27 2010,General Election,River Heights-Fort Garry,,John ORLIKOW,Office of Councillor,10713,Yes
October 22 1986,General Election,St. Boniface School Division,,Hilton ESTABROOK,Office of School Trustee,1518,No
October 22 1986,General Election,St. Vital School Division,,Patricia EVANS,Office of School Trustee,3504,Yes
October 26 1977,General Election,Norwood School Division,,Joe C. STANGL,Office of School Trustee,2449,Yes
October 26 1983,General Election,Elmwood,,Ray BRUNKA,Office of Councillor,3044,No
October 23 1974,General Election,Norwood School Division,,Joe STANGL,Office of School Trustee,1644,Yes
October 26 1977,General Election,St. Boniface School Division,,R. Morris DEVESON,Office of School Trustee,3702,No
October 28 1992,General Election,Norwood School Division,,Ronald CHARTRAND,Office of School Trustee,2399,Yes
October 26 1995,General Election,North Kildonan,,Don MITCHELSON,Office of Councillor,5151,No
October 26 1983,General Election,Fort Garry School Division,3,Roberta GOOD,Office of School Trustee,1901,No
October 22 1986,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Ron LAND,Office of School Trustee,560,No
October 28 1998,General Election,Winnipeg School Division,2,Bob BRUCE,Office of School Trustee,4102,No
October 26 1989,General Election,Winnipeg School Division,3,Roman YERENIUK,Office of School Trustee,5527,Yes
October 26 1989,General Election,Winnipeg,,Walter DIAWOL,Office of Mayor,1530,No
October 28 1992,General Election,Winnipeg,,Natalie POLLOCK,Office of Mayor,1311,No
October 22 2014,General Election,Seven Oaks School Division,3,Baljit GILL,Office of School Trustee,1269,No
October 26 1983,General Election,St. Vital School Division,,John INGRAM,Office of School Trustee,2719,No
March 17 2009,By-Election,Winnipeg School Division,1,Carlos JAMES,Office of School Trustee,245,No
October 26 1995,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Aldo ROMANI,Office of School Trustee,810,No
October 22 1986,General Election,Jefferson,,Cliff SANDLER,Office of Councillor,1466,No
October 28 1998,General Election,St. Vital,,Allan GOLDEN,Office of Councillor,10125,Yes
October 28 1998,General Election,Seven Oaks School Division,2,Barrie ROMANOFF,Office of School Trustee,2071,No
October 26 1977,General Election,Norwood School Division,,Dennis MCMUNN,Office of School Trustee,751,No
October 26 1977,General Election,Assiniboine South School Division,3,Jan DEVRIES,Office of School Trustee,217,No
October 23 2002,General Election,Winnipeg School Division,3,Kevin REBECK,Office of School Trustee,3644,No
October 23 1974,General Election,St. James-Assiniboia School Division,,Marjorie GILLIES,Office of School Trustee,4993,Yes
October 26 1977,General Election,Assiniboine South School Division,1,Noel PRITCHARD,Office of School Trustee,0,Yes
October 22 1986,General Election,Seven Oaks School Division,2,Ken FINKLEMAN,Office of School Trustee,804,No
October 23 2002,General Election,River Heights-Fort Garry,,Garth STEEK,Office of Councillor,0,Yes
October 25 2006,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Grant CROSBIE,Office of School Trustee,3263,No
October 26 1989,General Election,Notre Dame,,Alan C. WADE,Office of Councillor,1994,Yes
October 25 2006,General Election,St. James-Brooklands,,Jae EADIE,Office of Councillor,2454,No
October 28 1992,General Election,St. Charles,,George FRASER,Office of Councillor,7791,Yes
October 26 1983,General Election,St. Vital School Division,,Kas VIDRUK,Office of School Trustee,3656,No
October 28 1998,General Election,Winnipeg School Division,2,Felipe PASCUAL,Office of School Trustee,4466,No
October 23 1974,General Election,River East School Division,3,Allen ROUSE,Office of School Trustee,1915,Yes
October 26 1977,General Election,Fort Garry School Division,3,Henry JANZEN,Office of School Trustee,2286,Yes
October 22 1986,General Election,Assiniboine South School Division,3,Max GOLDACK,Office of School Trustee,224,No
October 22 1986,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Linda MCINTOSH,Office of School Trustee,4217,Yes
October 26 1995,General Election,River East School Division,1,Susan MABLEY,Office of School Trustee,2541,No
October 28 1998,General Election,Winnipeg School Division,1,Lisa HAJER,Office of School Trustee,2672,No
October 23 2002,General Election,North Kildonan,,James A. ANTOINE,Office of Councillor,3741,No
October 25 2006,General Election,Elmwood-East Kildonan,,David J. DANYLUK,Office of Councillor,1657,No
October 22 1986,General Election,Winnipeg,,Barry KOHN,Office of Mayor,898,No
October 23 1974,General Election,Glenlawn,,Florence PIERCE,Office of Councillor,1564,Yes
October 23 2002,General Election,River East Transcona School Division,2,Val HOPKINSON,Office of School Trustee,802,No
October 26 1977,General Election,Miles MacDonnell,,Michael RUTA,Office of Councillor,1518,No
October 28 1998,General Election,Fort Garry School Division,2,Norman MAGNUSSON,Office of School Trustee,1679,No
October 26 1995,General Election,Winnipeg School Division,2,Vi ROWLAND,Office of School Trustee,605,No
October 26 1989,General Election,Kildonan Park,,Ruth OBERMAN,Office of Councillor,447,No
October 26 1983,General Election,Seven Oaks School Division,2,David LERNER,Office of School Trustee,1219,No
October 22 1986,General Election,Winnipeg School Division,1,Peter ROSS,Office of School Trustee,1525,No
October 28 1998,General Election,St. Boniface School Division,3,Hugh COBURN,Office of School Trustee,2646,Yes
October 23 1974,General Election,St. Vital School Division,,Gord CARDINAL,Office of School Trustee,1521,No
October 22 2014,General Election,St. Charles,,Dwight HILDEBRANDT,Office of Councillor,791,No
June 24 2008,By-Election,Seven Oaks School Division,2,Kaur Singh SIDHU,Office of School Trustee,640,No
October 27 2010,General Election,Winnipeg School Division,2,Kenny MORAN,Office of School Trustee,1979,No
October 26 1977,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Gord MCKINNON,Office of School Trustee,2434,Yes
October 26 1977,General Election,St. Charles,,Keith GRAY,Office of Councillor,1177,No
October 22 1986,General Election,Crescent Heights,,Roy BOWKETT,Office of Councillor,1320,No
October 23 1974,General Election,Assiniboine South School Division,2,Mary BENNETT,Office of School Trustee,992,No
October 26 1995,General Election,River East School Division,3,Greg PAGE,Office of School Trustee,1630,No
October 23 2002,General Election,Pembina Trails School Division,2,Johanna DENESIUK,Office of School Trustee,2208,No
October 22 1986,General Election,Winnipeg,,Russell DOERN,Office of Mayor,48567,No
October 26 1977,General Election,Charleswood,,Jim MOORE,Office of Councillor,1685,Yes
October 26 1983,General Election,Winnipeg,,Barry VINCENT,Office of Mayor,2258,No
October 26 1995,General Election,Winnipeg,,Susan THOMPSON,Office of Mayor,83036,Yes
October 26 1989,General Election,Elmwood,,Alf SKOWRON,Office of Councillor,2009,No
October 26 1977,General Election,Norquay,,Joseph ZUKEN,Office of Councillor,2160,Yes
October 22 2014,General Election,Pembina Trails School Division,1,Dianne ZUK,Office of School Trustee,6247,Yes
October 25 2006,General Election,River East Transcona School Division,1,Colleen CARSWELL,Office of School Trustee,4336,Yes
October 26 1977,General Election,Springfield Heights,,David MACDONALD,Office of Councillor,764,No
October 25 2006,General Election,Seven Oaks School Division,2,Bill MCGOWAN,Office of School Trustee,4156,Yes
October 22 1986,General Election,Transcona,,George MARSHALL,Office of Councillor,2450,Yes
October 25 2006,General Election,St. Charles,,Grant NORDMAN,Office of Councillor,3415,Yes
October 26 1995,General Election,Daniel McIntyre,,Gordon HALUSHKA,Office of Councillor,608,No
October 27 2010,General Election,Louis Riel School Division,3,Robert PAGE,Office of School Trustee,6179,No
